,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan
1078,2023-10-11 13:29:21.997,1,2023-10-11 13:29:43.320,0,0 days 00:00:21.323000
1079,2023-10-11 13:29:47.382,1,2023-10-11 13:29:55.505,0,0 days 00:00:08.123000
1080,2023-10-11 13:30:01.597,1,2023-10-11 13:30:14.798,0,0 days 00:00:13.201000
1081,2023-10-11 13:30:19.890,1,2023-10-11 13:30:29.029,0,0 days 00:00:09.139000
1082,2023-10-11 13:30:32.075,1,2023-10-11 13:30:44.260,0,0 days 00:00:12.185000
1083,2023-10-11 13:30:47.306,1,2023-10-11 13:31:00.506,0,0 days 00:00:13.200000
1084,2023-10-11 13:31:18.783,1,2023-10-11 13:31:24.891,0,0 days 00:00:06.108000
1085,2023-10-11 13:31:31.999,1,2023-10-11 13:31:35.045,0,0 days 00:00:03.046000
1086,2023-10-11 13:31:43.168,1,2023-10-11 13:31:54.337,0,0 days 00:00:11.169000
1087,2023-10-11 13:32:14.645,1,2023-10-11 13:32:27.845,0,0 days 00:00:13.200000
1088,2023-10-11 13:32:36.999,1,2023-10-11 13:32:45.123,0,0 days 00:00:08.124000
1089,2023-10-11 13:32:55.277,1,2023-10-11 13:33:11.523,0,0 days 00:00:16.246000
1090,2023-10-11 13:33:21.677,1,2023-10-11 13:33:30.815,0,0 days 00:00:09.138000
1091,2023-10-11 13:33:52.154,1,2023-10-11 13:33:59.262,0,0 days 00:00:07.108000
1092,2023-10-11 13:34:03.324,1,2023-10-11 13:34:14.493,0,0 days 00:00:11.169000
1093,2023-10-11 13:34:18.554,1,2023-10-11 13:34:25.662,0,0 days 00:00:07.108000
1094,2023-10-11 13:34:39.878,1,2023-10-11 13:34:54.109,0,0 days 00:00:14.231000
1095,2023-10-11 13:35:16.447,1,2023-10-11 13:35:30.663,0,0 days 00:00:14.216000
1096,2023-10-11 13:35:54.033,1,2023-10-11 13:35:57.079,0,0 days 00:00:03.046000
1097,2023-10-11 13:36:08.248,1,2023-10-11 13:36:15.356,0,0 days 00:00:07.108000
1098,2023-10-11 13:36:22.464,1,2023-10-11 13:36:26.525,0,0 days 00:00:04.061000
1099,2023-10-11 13:36:34.648,1,2023-10-11 13:36:53.956,0,0 days 00:00:19.308000
1100,2023-10-11 13:37:03.095,1,2023-10-11 13:37:07.157,0,0 days 00:00:04.062000
1101,2023-10-11 13:37:11.218,1,2023-10-11 13:37:15.280,0,0 days 00:00:04.062000
1102,2023-10-11 13:37:37.618,1,2023-10-11 13:37:55.895,0,0 days 00:00:18.277000
1103,2023-10-11 13:38:04.034,1,2023-10-11 13:38:19.265,0,0 days 00:00:15.231000
1104,2023-10-11 13:39:45.589,1,2023-10-11 13:40:07.928,0,0 days 00:00:22.339000
1105,2023-10-11 13:40:12.005,1,2023-10-11 13:40:16.067,0,0 days 00:00:04.062000
1106,2023-10-11 13:40:32.313,1,2023-10-11 13:40:42.467,0,0 days 00:00:10.154000
1107,2023-10-11 13:40:52.621,1,2023-10-11 13:41:03.790,0,0 days 00:00:11.169000
1108,2023-10-11 13:41:08.867,1,2023-10-11 13:41:26.144,0,0 days 00:00:17.277000
